,day,is_member,start_station_code,index,Code,name,latitude,longitude,trip_per_day_2019
234,199,10040,11864,6243,6243.0,Bloomfield / Bernard,45.52068774,-73.6084279,59.618090452261306
235,199,6246,7474,6245,6245.0,Bloomfield / Van Horne,45.5225858,-73.61265779,37.55778894472362
236,199,8805,10258,6246,6246.0,Métro Outremont (Wiseman / Van Horne),45.52027053865367,-73.61484915018082,51.54773869346734
237,190,16190,19237,6247,6247.0,St-Dominique / St-Zotique,45.53226461018495,-73.6110632121563,101.24736842105263
238,199,22120,26723,6248,6248.0,St-Dominique / Rachel,45.518593,-73.581566,134.28643216080403
239,199,9443,11443,6249,6249.0,Bélanger / St-Denis,45.53696,-73.61199,57.50251256281407
240,199,12947,17117,6250,6250.0,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925,86.01507537688443
241,199,3744,4597,6251,6251.0,Dante / de Gaspé,45.53441493337628,-73.6123164743185,23.100502512562816
242,199,7949,9621,6252,6252.0,Mozart / St-Laurent,45.53318,-73.61544,48.346733668341706
243,177,8337,9502,6253,6253.0,Métro Jean-Talon (de Chateaubriand / Jean-Talon),45.540138286478616,-73.61402839422226,53.68361581920904
244,199,10808,12583,6254,6254.0,Boyer / Bélanger,45.54006,-73.60897,63.231155778894475
245,199,13228,15210,6255,6255.0,Boyer / St-Zotique,45.53848,-73.60556,76.4321608040201
246,199,6394,7569,6257,6257.0,de St-Vallier / St-Zotique,45.53626117851967,-73.60754549503326,38.03517587939699
