,day,emplacement_pk_start,index,pk,name,latitude,longitude,trip_per_day_2022
240,202,8130,389,389.0,de la Gauchetière / Robert-Bourassa,45.500606,-73.565448,40.24752475247525
241,20,741,392,392.0,Stanley / Sherbrooke,45.501041,-73.577178,37.05
242,202,12213,393,393.0,Metcalfe / de Maisonneuve,45.501715,-73.57413,60.460396039603964
243,202,13373,394,394.0,St-Nicolas / Place d'Youville,45.501967,-73.555153,66.20297029702971
244,202,20074,395,395.0,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,99.37623762376238
245,202,9457,396,396.0,Union / René-Lévesque,45.50235,-73.566583,46.81683168316832
246,202,12927,397,397.0,St-Jacques / St-Pierre,45.502786,-73.559134,63.995049504950494
247,202,40231,398,398.0,McTavish / Sherbrooke,45.502813,-73.576024,199.16336633663366
248,198,14123,400,400.0,du President-Kennedy / Union,45.505011,-73.572028,71.32828282828282
249,182,7078,401,401.0,St-Antoine / St-François-Xavier,45.504591,-73.559188,38.89010989010989
250,202,8452,403,403.0,Viger / Chenneville,45.505312,-73.560891,41.84158415841584
251,202,14106,404,404.0,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976,69.83168316831683
252,202,10070,405,405.0,City Councillors / du President-Kennedy,45.506251,-73.571391,49.851485148514854
253,157,8450,406,406.0,St-Jacques / St-Laurent,45.506421,-73.556466,53.82165605095541
254,202,13923,407,407.0,St-Urbain / de la Gauchetière,45.507078,-73.561395,68.92574257425743
255,201,8304,408,408.0,Notre-Dame / St-Gabriel,45.507144,-73.555119,41.3134328358209
256,202,8308,409,409.0,du Champ-de-Mars / Gosford,45.509655,-73.554009,41.12871287128713
257,202,14979,410,410.0,Métro Champ-de-Mars (Viger / Sanguinet),45.510351,-73.556508,74.15346534653466
258,202,9119,411,411.0,St-André / St-Antoine,45.514114,-73.552645,45.14356435643565
259,202,11401,412,412.0,Ottawa / William,45.489727,-73.564063,56.44059405940594
260,202,12874,413,413.0,Joseph-Manseau / René-Lévesque,45.491687,-73.576767,63.73267326732673
261,202,21468,414,414.0,Notre-Dame / de la Montagne,45.493029,-73.564818,106.27722772277228
262,196,6914,415,415.0,Lucien L'Allier / St-Jacques,45.493569,-73.568576,35.275510204081634
263,202,8047,418,418.0,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),45.494872,-73.571124,39.836633663366335
264,200,7922,419,419.0,Duke / Brennan,45.495581,-73.553711,39.61
265,161,13213,420,420.0,Bishop / Ste-Catherine,45.496583,-73.576502,82.06832298136646
266,202,32541,421,421.0,de la Commune / King,45.497515,-73.552571,161.09405940594058
267,202,13883,422,422.0,William / St-Henri,45.498919,-73.557254,68.72772277227723
268,171,7465,423,423.0,Queen / Wellington,45.497605,-73.55535,43.654970760233915
269,202,16203,425,425.0,Labadie / du Parc,45.519895,-73.596827,80.2128712871287
270,202,25859,427,427.0,de l'Esplanade / Fairmount,45.521496,-73.596827,128.0148514851485
271,202,25378,428,428.0,Jeanne-Mance / St-Viateur,45.523027,-73.60184,125.63366336633663
272,202,18112,429,429.0,Waverly / St-Viateur,45.523856,-73.600127,89.66336633663366
273,202,14537,430,430.0,de Bullion / St-Joseph,45.524037,-73.590143,71.96534653465346
274,202,26043,431,431.0,Bernard / Jeanne-Mance,45.524287,-73.604973,128.9257425742574
275,200,21199,432,432.0,Maguire / St-Laurent,45.524628,-73.595811,105.995
276,112,5797,433,433.0,Hutchison / Van Horne,45.524942,-73.610606,51.75892857142857
277,202,9946,434,434.0,de Gaspé / Fairmount,45.525648,-73.592928,49.23762376237624
278,202,24738,436,436.0,Drolet / Laurier,45.526252,-73.589758,122.46534653465346
279,202,14243,437,437.0,St-Dominique / St-Viateur,45.526557,-73.598276,70.50990099009901
280,202,9832,438,438.0,Maguire / Henri-Julien,45.527041,-73.593471,48.67326732673267
281,202,6249,439,439.0,Waverly / Van Horne,45.527363,-73.607723,30.935643564356436
282,202,7356,440,440.0,Casgrain / St-Viateur,45.527513,-73.598791,36.415841584158414
283,202,10179,441,441.0,de Gaspé / St-Viateur,45.527748,-73.597439,50.39108910891089
284,200,8653,442,442.0,Henri-Julien / du Carmel,45.527839,-73.594821,43.265
285,202,9708,443,443.0,St-Dominique / Bernard,45.527933,-73.601223,48.05940594059406
286,201,4081,444,444.0,Berlioz / de l'Île des Soeurs,45.459986,-73.543956,20.303482587064675
287,202,8302,445,445.0,Place du Commerce,45.46714,-73.54259,41.0990099009901
288,202,21752,447,447.0,Léa-Roback / Sir-Georges-Etienne-Cartier,45.471669,-73.582644,107.68316831683168
289,201,4725,448,448.0,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.539285,23.507462686567163
290,202,15759,449,449.0,Ste-Émilie / Sir-Georges-Etienne-Cartier,45.472668,-73.58539,78.01485148514851
291,202,9326,450,450.0,Ryde / Charlevoix,45.475743,-73.564601,46.16831683168317
292,202,16105,451,451.0,Métro Place St-Henri (St-Ferdinand / St-Jacques),45.477249,-73.587238,79.72772277227723
